7clock 0.1.0-1
obs-vkcapture-git 1.5.1.r0.g553fbb1-1.1
obsidian 1.7.6-1
os-prober-btrfs 1.83-2
otf-aurulent-nerd 3.2.1-2
otf-codenewroman-nerd 3.2.1-2
otf-comicshanns-nerd 3.2.1-2
otf-commit-mono-nerd 3.2.1-2
otf-droid-nerd 3.2.1-2
otf-firamono-nerd 3.2.1-2
otf-font-awesome 6.6.0-1
otf-font-awesome-4 4.7.0-7
otf-geist-mono-nerd 3.2.1-2
otf-hasklig-nerd 3.2.1-2
otf-hermit-nerd 3.2.1-2
otf-monaspace-nerd 3.2.1-2
otf-opendyslexic-nerd 3.2.1-2
otf-overpass-nerd 3.2.1-2
overskride 0.6.1-1
p7zip 1:17.05-2
pace 1.4.2-1.3
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacseek 1.8.3-2
pamixer 1.6-3
paru 2.0.4-1
pavucontrol 1:6.1-1
pciutils 3.13.0-2
perl-file-mimeinfo 0.35-2
pipewire-jack 1:1.2.6-1
pipewire-support 1-16
plasma-framework5 5.116.0-1
plasma5-themes-sweet-full-git r395.dffa6c6-1
playerctl 2.4.1-4
plocate 1.1.22-3
polkit-gnome 0.105-11
powertop 2.15-2
procps-ng 4.0.4-3
projectm-pulseaudio 3.1.12-5
psmisc 23.7-1
python-pip 24.3.1-1
qalculate-gtk 5.3.0-1
qt5ct 1.8-2
qt6ct 0.9-11
ranger 1.9.4-1
rate-mirrors 0.18.0-1
raylib 5.0-1
reflector-simple 3.3-1
reiserfsprogs 3.6.27-5
rsync 3.3.0-2
sdbus-cpp 2.0.0-1
sddm 0.21.0-4
sed 4.9-3
selectdefaultapplication-git r22.c752df6-1
shadow 4.16.0-1
slurp 1.5.0-1
snapper-support 1.1.2-3
snapper-tools 1.1.3-1.3
sof-firmware 2024.09.1-1
sox 14.4.2+r184+gf3094754-1
spotify 1:1.2.48.405-1
sshfs 3.7.3-2
steam 1.0.0.81-2
steam-native-runtime 1.0.0.75-4
studyflash 1.1.3-1
sudo 1.9.16.p1-1
swappy 1.5.1-2
swayidle 1.8.0-2
swaylock 1.8.0-1
swww 0.9.5-2
systemd 256.8-1
systemd-sysvcompat 256.8-1
tar 1.35-2
terminus-font 4.49.1-7
texlive-basic 2024.2-3
texlive-bibtexextra 2024.2-3
texlive-binextra 2024.2-3
texlive-context 2024.2-3
texlive-fontsextra 2024.2-3
texlive-fontsrecommended 2024.2-3
texlive-fontutils 2024.2-3
texlive-formatsextra 2024.2-3
texlive-games 2024.2-3
texlive-humanities 2024.2-3
